dia,t_med,t_max,hi_med,hi_max,num_hr_32,num_hr_33,num_hr_34,num_hr_35,num_hr_36,num_hr_37,num_hr_38,num_hr_39,num_hr_40,num_hr_41,num_hr_42,num_hr_43,num_hr_44,auc32,auc36
2015-05-12,22.793229186534877,26.062499952316283,23.30084781185344,25.99402798758613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-13,22.340624942382178,24.86250009536743,22.845841852161623,24.98749968528747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-14,21.539583283662797,25,21.952699550059098,25.493749895095817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-15,21.358333315451944,26.05,22.02460262345679,26.153610796398578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-16,21.84687503576279,24.925000190734863,22.3988078266603,25.060417086283373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,22.979687533775962,26.9,23.492235308176806,27.491527968925524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-18,22.747916632890703,26,23.29997876775118,26.31930608007643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,22.94062498609225,26.425000190734863,23.390610541149417,26.62027819739448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-20,22.461458289623263,26.487499952316284,22.935667189140588,27.12101463745773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-21,22.91562486489614,26.33750009536743,23.284771224083716,26.31166666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,22.704166577259702,27.8,22.993861721414717,27.844087425184455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,22.428645771741866,27.52500009536743,22.85726833374156,27.62482611974307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,23.87135401964188,30.8,24.121091276534102,30.465464858856947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,24.445833323399228,30.65000009536743,25.160801226866983,30.91283151831345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,22.981770827372866,27.675000190734863,23.912844072022594,29.887377061778402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,23.398437494039538,29,24.03409174106868,29.779278895537946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-28,26.081770948568984,32.9,26.51619476933872,32.596325868134684,3,0,0,0,0,0,0,0,0,0,0,0,0,1.3660581088309167,0
2015-05-29,22.207291650772092,24.450000286102295,22.7586747007679,24.767500314712525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-30,21.72812502185504,25.874999523162842,22.19954277599299,26.07284706486596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-31,21.303124880790712,22.09999942779541,21.848885894837206,22.653055240843024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,21.857291626930238,23.225000381469727,22.21277191643362,23.55673632091946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-02,20.655208212137225,22,21.06051482993144,22.402222012413866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,21.974479103088374,25.59999990463257,22.423285038088576,25.747291614214582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-04,21.27395830353101,26.90000009536743,21.972546416268187,27.68868610993744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-05,21.537500057617823,26.84999990463257,22.163254943759124,27.60058494284501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-06,23.77656238476435,30,24.647942329737702,30.527810039958307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,24.43697899182638,31,25.084610275323868,30.912866726590885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,24.106249940395355,31,24.50014839497196,30.63743755490249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,23.767708237965902,30,24.07013585489331,29.69706823438503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-10,23.896354154745737,30.374999523162842,24.112791696804504,29.68054533156714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-11,25.082291581233346,32.4,25.181366094634885,31.04310019693821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-12,22.92916664481163,26,23.394953723373238,25.924236216015288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-13,23.803124940395353,29.8,24.822752506561084,31.398936949937376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,26.87187499403954,33.5,27.127651758242518,32.65702663034811,2,0,0,0,0,0,0,0,0,0,0,0,0,0.7416843207206919,0
2015-06-15,22.626041740179062,27.274999618530273,23.046798816385387,27.913305272370785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,19.257499942779543,20,19.645960508275916,20.17999979019165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-17,22.176041611035668,27.15000009536743,22.924288988541335,29.334646386487393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-18,25.598437404632566,32.57499980926514,26.55425609723828,33.30149209934444,5,2,0,0,0,0,0,0,0,0,0,0,0,4.225808423265834,0
2015-06-19,20.140624922513965,23.350000381469727,20.601070538472246,23.931111111111107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,19.705729077259697,22.2,19.826003961320275,22.332360953754854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,19.91458332439264,24.05,20.163211761845485,23.871111111111105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-22,21.4275000038147,26,21.768865675175633,25.819444549348624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-23,22.953125027815503,29.15000009536743,23.42814214005266,28.928541448008193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-24,20.343749872843425,21.9,20.712366839139552,22.08958396275838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-25,18.87864584128062,21,19.003301460919555,20.862569234636094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-26,18.883854127923648,22.75,18.993966962529555,22.79715277777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-27,19.56302072604497,24,19.577269275401843,23.663264046245153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-28,19.933333282669384,24.174999713897705,20.057916558484237,23.91416656176249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-29,20.918229172627132,26.100000381469727,21.073778959225724,26.138888626628447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,22.843750005960462,29,23.20902443849643,29.181882223028026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,24.035937444369,30,24.379062261814482,29.7386986283708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
